,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 a 44 anos,45 a 49 anos,50 a 54 anos,55 a 59 anos,60 a 64 anos,65 a 69 anos,70 a 74 anos,75 anos e +,Total
AGUA RASA,5411,5750,6450,7122,7621,7340,6999,6984,6346,5608,4987,4212,4152,3595,2937,3637,89151
ALTO DE PINHEIROS,2070,2369,2953,3661,4612,4190,3539,3633,3448,3289,3040,2533,2298,1732,1305,1823,46495
ANHANGUERA,3068,3006,2755,2431,2426,2636,2695,2308,1653,1107,753,509,352,217,162,171,26249
ARICANDUVA,7732,7730,8373,8956,9182,8531,7813,7365,6551,5554,4887,3858,3320,2449,1611,1723,95635
ARTUR ALVIM,9031,9078,10000,11058,11387,10347,9125,8658,7830,7055,5919,4612,3756,2633,1727,1724,113940
BARRA FUNDA,823,821,915,1101,1368,1279,1081,1027,983,844,770,626,570,507,457,776,13948
BELA VISTA,3543,3147,3267,4367,6881,7618,6624,5664,4997,4214,3586,2814,2536,2192,1886,2835,66171
BELEM,2780,2669,2871,3348,3854,3653,3347,3285,3007,2527,2232,1857,1977,1746,1552,2193,42898
BOM RETIRO,2099,1993,2034,2362,3040,2898,2476,2253,1994,1655,1476,1176,1199,979,809,1148,29591
BRAS,2275,1977,1825,2135,2800,2876,2676,2467,2059,1554,1238,966,848,723,605,786,27810
BRASILANDIA,25738,24126,23468,23500,23641,22152,20069,17216,13880,10622,8376,5957,4706,3322,2212,2365,231350
BUTANTA,3040,3195,3819,4595,5259,4926,4407,4310,4044,3618,3253,2618,2332,1830,1376,1932,54554
CACHOEIRINHA,14689,14056,13646,13999,13851,13242,12298,10665,8877,6783,5291,3839,3166,2391,1642,1789,140224
CAMBUCI,2001,1878,2039,2416,2840,2683,2595,2418,2200,1874,1676,1383,1427,1210,1137,1620,31397
CAMPO BELO,4115,4228,4758,5712,6879,6350,5562,5465,5026,4575,4287,3590,3169,2387,1867,2501,70471
CAMPO GRANDE,6332,6721,7375,7618,7917,7912,7987,7932,6848,5629,4491,3405,2814,2075,1499,1771,88326
CAMPO LIMPO,18454,17595,17749,18176,18748,17946,16382,14284,11807,8925,6675,4573,3445,2367,1583,1745,180454
CANGAIBA,11533,11381,11890,12109,12111,12018,11432,10624,8965,7108,5745,4364,3656,2739,2008,2058,129741
CAPAO REDONDO,23702,22874,23184,23565,24125,22030,19790,17009,14109,10865,8029,5294,3826,2419,1539,1795,224155
CARRAO,5454,5653,6312,6671,6809,6702,6458,6475,5872,4955,4419,3815,3579,2961,2301,2950,81386
CASA VERDE,6287,6390,7087,7952,8112,7596,7120,6927,6318,5245,4493,3619,3442,2699,2115,2589,87991
CIDADE ADEMAR,23730,22841,23507,24423,25198,23199,20922,18109,15150,12021,9513,6910,5370,3686,2414,2658,239651
CIDADE DUTRA,17658,17605,18468,18993,18688,17122,15861,14408,12480,9603,7525,5068,3896,2713,1813,1988,183889
CIDADE LIDER,10354,10382,10806,11298,11243,10109,9434,8452,7517,6140,4711,3247,2388,1680,1139,1218,110118
CIDADE TIRADENTES,18477,18026,17286,15848,13821,13383,13335,12046,9901,7325,4753,2845,1937,1222,731,657,151593
CONSOLACAO,2405,2339,2612,3878,5986,5781,4915,4670,4400,3972,3613,2962,2704,2411,2205,3651,58504
CURSINO,7333,7491,8397,8954,9462,9069,8717,8594,7697,6387,5383,4314,4226,3426,2598,3070,105118
ERMELINO MATARAZZO,9979,9611,9877,10081,10628,9931,9146,8143,6785,5389,4066,2948,2361,1709,1185,1317,103156
FREGUESIA DO O,11733,11845,12535,13446,13873,13178,12849,12077,10624,8496,6919,5439,4879,3894,2895,3215,147897
GRAJAU,31670,30568,29632,29617,29556,27537,25037,21206,17336,12551,8777,5515,3734,2374,1484,1458,278052
GUAIANASES,10371,10045,9813,9707,9489,8694,7929,6793,5631,4410,3146,2216,1685,1115,742,804,92590
IGUATEMI,9720,9610,9258,8946,8322,7770,7530,6619,5462,4033,2906,1873,1299,846,512,500,85206
IPIRANGA,6609,6820,7139,8005,8962,8857,8179,7769,7053,6025,5240,4233,4213,3587,3124,4211,100026
ITAIM BIBI,4479,4604,5337,6685,7983,8094,7417,7588,6974,6283,5406,4412,3789,3477,3007,4197,89732
ITAIM PAULISTA,21991,21554,20879,20628,19221,18159,16864,14390,11945,8998,6848,4657,3484,2357,1454,1538,194967
ITAQUERA,19572,18902,18930,19327,19312,18365,16762,14555,12154,9830,7762,5675,4359,3034,2011,2181,192731
JABAQUARA,17919,17445,18284,19304,20327,20322,19510,17657,14978,11883,9674,7572,6659,5035,3776,4395,214740
JACANA,7874,7884,8141,8741,8646,7926,7233,6837,6006,4876,4186,3195,2935,2234,1580,2032,90326
JAGUARA,1843,1973,2205,2430,2547,2359,2138,2096,1967,1683,1466,1138,1001,862,667,728,27103
JAGUARE,3775,3680,3662,3965,4494,4285,3871,3292,2736,2310,1952,1577,1303,924,647,750,43223
JARAGUA,12983,12794,13165,12868,12213,11443,11112,10198,8510,6459,4800,3234,2231,1540,1028,1057,125635
JARDIM ANGELA,25588,24365,23198,23183,23525,22804,20251,16154,13235,9866,7108,4393,3098,1874,1203,1192,221037
JARDIM HELENA,14984,14327,13811,13998,13698,12668,11188,9506,7759,5919,4608,3211,2500,1650,1122,1092,132041
JARDIM PAULISTA,3499,3647,4321,5977,8506,8340,7188,7115,6894,6551,5891,4815,4290,3706,3467,5855,90062
JARDIM SAO LUIS,23134,22112,22258,23360,24394,22986,20702,17719,14502,10985,8382,5674,4366,2904,1882,1930,227290
JOSE BONIFACIO,9281,9634,10798,11643,10938,9014,8172,7947,7795,6629,5131,3272,2399,1512,1020,1014,106199
LAJEADO,16934,16262,15511,14797,14277,13222,12091,10200,8151,6076,4509,3138,2368,1570,989,1068,141163
LAPA,3128,3370,3965,4648,5264,5154,4941,5054,4706,4205,3781,3268,3184,2843,2436,3665,63612
LIBERDADE,3907,3748,4071,4988,6655,6839,6000,5509,5042,4190,3616,2802,2496,2161,1870,2698,66592
LIMAO,6919,6838,7244,7804,8260,7483,6882,6659,5954,4992,4125,3150,2837,2218,1711,1945,85021
MANDAQUI,7971,8119,8633,9158,9524,9398,9276,8838,7554,6063,5077,3971,3424,2669,1844,2172,103691
MARSILAC,947,913,893,780,620,561,552,511,451,328,257,204,174,148,83,92,7514
MOEMA,3607,3656,4363,5274,6491,6460,6200,6605,6154,5563,4577,3488,2940,2592,2276,3225,73471
MOOCA,3581,3759,4277,4856,5373,5344,5139,5329,4781,4179,3727,3340,3412,3086,2576,3527,66286
MORUMBI,2452,2457,2677,3205,3853,3529,3095,2924,2686,2359,2088,1611,1240,862,618,785,36441
PARELHEIROS,10182,9850,9390,8798,8342,7713,7329,6173,5081,3568,2580,1647,1158,810,504,553,83678
PARI,1095,1027,1101,1335,1560,1535,1415,1212,1102,989,851,785,768,672,573,790,16810
PARQUE DO CARMO,6254,6056,6243,6453,6297,5682,5279,4529,3891,3120,2374,1594,1175,822,517,608,60894
PEDREIRA,12116,11818,11702,11487,11671,10860,10056,8604,6916,5280,3849,2609,1840,1264,828,901,111801
PENHA,8879,9009,9752,10805,11233,10877,10247,9952,8902,7657,6789,5644,5322,4514,3590,4346,127518
PERDIZES,5158,5599,6694,7863,9380,8881,8453,8902,8621,7518,6322,5006,4470,3870,3326,4787,104850
PERUS,6714,6355,6118,5977,6169,6063,5620,4614,3802,2811,2259,1561,1235,868,583,645,61394
PINHEIROS,3040,3096,3738,4749,5903,6142,5743,5845,5192,4784,4082,3389,3210,2690,2627,3873,68103
PIRITUBA,13417,13320,14026,14577,14778,14518,13993,13031,11315,9036,7359,5524,4807,3685,2643,2898,158927
PONTE RASA,8333,8398,8914,9566,9534,8877,8592,7905,6954,5694,4666,3625,3173,2304,1632,1745,99912
RAPOSO TAVARES,8706,8616,8650,9254,9346,8603,7716,6739,5881,4678,3586,2357,1683,1115,721,871,88522
REPUBLICA,2814,2354,2280,3230,5288,6016,5351,4639,4080,3292,2863,2265,2000,1551,1236,1798,51057
RIO PEQUENO,9740,9462,10088,10597,10710,10129,9376,8662,7481,6053,4824,3598,3012,2187,1442,1554,108915
SACOMA,19361,19065,19326,20284,21553,21114,20409,18383,15503,12085,9521,7382,6419,4914,3605,3988,222912
SANTA CECILIA,4065,3772,4084,5227,7353,7641,6794,6314,5812,5061,4345,3458,3211,2768,2442,3699,76046
SANTANA,7034,7533,8636,9745,12595,12176,11168,10870,9820,8417,6928,5682,5391,4610,3766,4902,129273
SANTO AMARO,2982,3371,4272,5257,6181,5297,4809,4999,4965,4746,4336,3654,3125,2469,2046,2929,65438
SAO DOMINGOS,6500,6287,6727,7187,7837,7424,6970,6251,5395,4454,3768,3006,2482,1745,1254,1298,78585
SAO LUCAS,11004,11271,11906,12468,13073,12930,12352,12000,10161,8411,7213,5808,5296,4039,2911,3053,143896
SAO MATEUS,14795,14509,14951,15256,14996,14254,13484,12109,10185,8026,6507,4764,3803,2717,1732,1766,153854
SAO MIGUEL,9480,9079,9346,9699,9863,9371,8589,7399,6225,4939,4087,3375,2846,2164,1454,1581,99497
SAO RAFAEL,12315,11672,11326,11242,11352,11075,9965,8391,6873,5427,4290,3003,2108,1339,836,886,112100
SAPOPEMBA,26742,26651,27128,27771,27112,25498,23699,21366,18147,14302,11346,8030,6524,4412,2818,2800,274346
SAUDE,6531,6892,7764,8928,10102,10645,10405,10276,9480,8194,7015,5718,5333,4578,3942,5418,121221
SE,1690,1403,1403,1705,2462,2491,2203,1907,1653,1322,1093,838,678,562,413,513,22336
SOCORRO,2452,2732,3187,3693,3889,3556,3183,3170,2996,2633,2356,1909,1618,1228,868,1073,40543
TATUAPE,4497,4682,5374,6042,6499,6619,6398,6576,6085,5275,4551,3947,3920,3465,2839,3652,80421
TREMEMBE,14317,13631,13905,14387,14670,14011,12799,11581,9904,7956,6449,4798,4067,2861,2064,2467,149867
TUCURUVI,6492,6804,7826,8851,9087,8620,8092,8133,7647,6689,5716,4892,4500,3750,3007,3617,103723
VILA ANDRADE,6777,6047,5716,5713,6605,6653,6087,5099,3969,2899,2068,1308,962,577,368,454,61302
VILA CURUCA,15312,14649,14511,14449,13957,13074,11981,10048,8246,6478,5135,3724,2848,1931,1219,1345,138907
VILA FORMOSA,6728,6956,7606,8431,8644,8244,7696,7541,6830,5842,4966,4178,3806,3086,2317,2600,95471
VILA GUILHERME,3461,3594,3970,4548,5005,4734,4173,4085,3832,3280,2901,2438,2353,1992,1576,1862,53804
VILA JACUI,13891,13374,13362,12982,12719,11864,11087,9744,7962,6119,4434,3134,2341,1648,1099,1141,126901
VILA LEOPOLDINA,1771,1767,1922,2281,2513,2408,2229,2307,2016,1667,1385,1080,1046,869,734,926,26921
VILA MARIA,10184,9780,9862,10652,11603,11215,9841,8903,7596,6234,5217,4108,3764,3062,2302,2746,117069
VILA MARIANA,6051,6329,7637,9473,11583,11435,10363,10421,10056,9043,7595,6047,5376,4742,4235,6661,127047
VILA MATILDE,7802,8014,8715,9375,9556,9203,8601,8238,7430,6241,5295,4441,3871,3173,2499,2782,105236
VILA MEDEIROS,11747,11732,12395,13504,14130,13300,12157,11495,9944,8163,6896,5529,5081,4017,2891,3069,146050
VILA PRUDENTE,7418,7575,8261,8955,9748,9272,8706,8515,7688,6467,5555,4534,4147,3380,2678,3461,106360
VILA SONIA,6981,6971,7335,7971,8208,7761,7428,6887,6253,5155,4190,3150,2554,1982,1447,1826,86099
TOTAL,881412,866965,895872,944436,987918,942091,871751,796353,689675,560190,454708,344526,293074,225526,170023,209700,10134220
